"CALENDARIO EXÁMENES 2018/2019
GRADO EN INGENIERÍA INFORMÁTICA","","","","","","","","","","","","","","","","","",""
"2º Semestre – Ordinaria","","","","","","Día
5
Jun.","Día
6
Jun.","Día
7
Jun.","Día
8","Día
10
Jun.","Día
11
Jun.","Día
12
Jun.","Día
13
Jun.","Día
14
Jun.","Día
15","Día
17
Jun.","Día
18
Jun.","Día
19
Jun."
"Tit","Cur","Int","Cuat","Acr","Nombre","","","","","","","","","","","","",""
"GI","","3 SI","","2 PW","Programación Web","","","","","","","","","","","T","",""
"GI","","3 SI","","2 SIE","Sistemas de Información para Empresas","","","","","","","","","T","","","",""
"GI","","3 SI","","2 SMD","Sistemas Multidimensionales","","","","","T","","","","","","","",""
"GI","3 TI","","","2 CUIA","Computación Ubícua e Inteligencia Ambiental","","","","","T","","","","","","","",""
"GI","3 TI","","","2 SWAP","Servidores Web de Altas Prestaciones","","","","","","","","","","","","","T"
"GI","3 TI","","","2 SMM","Sistemas Multimedia","","","","","","","","","T","","","",""
"GI","3 TI","","","2 TW","Tecnologías Web","","","","","","","","","","","T","",""
"GI","3 TI","","","2 TDRC","Transmisión de Datos y Redes de Computadores","","","T","","","","","","","","","",""
"GI","","4 COMP","","2 CEGE","Creación de Empresas y Gestión Emprendedora","","","T","","","","","","","","","",""
"GI","","4 COMP","","2 DI","Derecho Informático","","","","","","","","T","","","","",""
"GI","","4 COMP","","2 EISI","Ética, Informática y Sociedad de la Información","","","","","","","","","","","","M",""
"GI","","4 CSI","","2 CRIP","Criptografía y Computación","","","","","","","","","","","","T",""
"GI","","4 CSI","","2 PLD","Programación Lúdica","","","T","","","","","","","","","",""
"GI","","4 CSI","","2 RI","Robótica Industrial","","","","","","","","T","","","","",""
"GI","","4 IC","","2 CII","Circuitos Integrados e Impresos","","","","","","","","","","","","T",""
"GI","","4 IC","","2 CLP","Controladores Lógicos Programables","","","","","","","","T","","","","",""
"GI","","4 IC","","2 MEI","Mantenimiento de Equipos Informáticos","","","T","","","","","","","","","",""
"GI","","4 IS","","2 AO","Animación por Ordenador","","","","","","","","","","","","T",""
"GI","","4 IS","","2 NTP","Nuevas Tecnologías de la Programación","","","","","","","","T","","","","",""
"GI","","4 IS","","2 PPR","Programación Paralela","","","T","","","","","","","","","",""
"GI","","4 SI","","2 PDIH","Periféricos y Dispositivos de Interfaz Humana","","","","","","","","","","","","T",""
"GI","","4 SI","","2 SCGC","Sistemas Cooperativos y Gestión de Contenidos","","","","","","","","T","","","","",""
"GI","4 TI","","","2 PDS","Procesamiento Digital de Señales","","","","","","","","T","","","","",""
"GI","4 TI","","","2 PDM","Programación de Dispositivos Móviles","","","T","","","","","","","","","",""
