"1º A Grado en Ingeniería Informática
1er. cuatrimestre","","","","",""
"","Lunes","Martes","Miércoles","Jueves","Viernes"
"8:30-9:30","","","","",""
"9:30-10:30","FFT(A1)
FP (A2)
CA (A3)
3.6
2.1
3.5","FP (A1)
FS (A2)
FFT (A3)
3.1
2.1
3.6","FFT
0.2","FS (A1)
ALEM(A2)
FP(A3)
2.1
2.2
3.1","ALEM(A1)
FFT (A2)
FS (A3)
2.3
3.6
3.1"
"10:30-11:30","FFT(A1)
FP (A2)
ALEM(A3)
3.6
2.1
2.7","FP (A1)
FS (A2)
FFT (A3)
3.1
2.1
3.6","FFT
0.2","FS (A1)
CA (A2)
FP(A3)
2.1
2.2
3.1","CA(A1)
FFT (A2)
FS (A3)
2.3
3.6
3.1"
"11:30-12:30","ALEM
0.2","CA
0.2","CA
0.2","FS
0.2","FS
0.2"
"12:30-13:30","FP
0.2","FP
0.2","CA
0.2","ALEM
0.2","ALEM
0.2"
"13:30-14:30","","","","",""
"","","","","",""
"15:30-16:30","","","","",""
"16:30-17:30","","","","",""
"17:30-18:30","","","","",""
"18:30-19:30","","","","",""
"19:30-20:30","","","","",""
"20:30-21:30","","","","",""
