"1º A Grado en Ingeniería Informática
2º cuatrimestre","","","","",""
"","Lunes","Martes","Miércoles","Jueves","Viernes"
"8:30-9:30","","","","",""
"9:30-10:30","MP
0.2","TOC (A1)
MP(A2)
LMD(A3)
3.8
3.1
2.1","TOC
0.2","LMD
0.2","MP(A1)
ES(A2)
TOC(A3)
3.1
2.1
3.8"
"10:30-11:30","LMD
0.2","TOC (A1)
MP(A2)
ES(A3)
3.8
3.1
2.1","TOC
0.2","MP
0.2","MP(A1)
LMD(A2)
TOC(A3)
3.1
2.1
3.8"
"11:30-12:30","LMD
0.2","IES
0.2","IES
0.2","LMD(A1)
TOC(A2)
MP(A3)
2.1
3.8
3.1","ES
0.2"
"12:30-13:30","ES
0.2","IES
0.2","IES
0.2","ES(A1)
TOC(A2)
MP(A3)
2.1
3.8
3.1","ES
0.2"
"13:30-14:30","","","","",""
"","","","","",""
"15:30-16:30","","","","",""
"16:30-17:30","","","","",""
"17:30-18:30","","","","",""
"18:30-19:30","","","","",""
"19:30-20:30","","","","",""
"20:30-21:30","","","","",""
