"2º D Grado en Ingeniería Informática
1er. cuatrimestre","","","","",""
"","Lunes","Martes","Miércoles","Jueves","Viernes"
"8:30-9:30","","","","",""
"9:30-10:30","","","","",""
"10:30-11:30","","","","",""
"11:30-12:30","","","","",""
"12:30-13:30","","","","",""
"13:30-14:30","","","","",""
"","","","","",""
"15:30-16:30","EC (D2)
2.9","SCD (D1)
SO (D3)
2.2
2.7","EC (D1)
SCD(D2)
2.9
2.7","SO(D1)
PDOO(D2)
2.7
2.6","PDOO(D1)
SO (D2)
2.6
3.3"
"16:30-17:30","EC (D2)
ED (D1)
2.9
3.3","ED(D2)
SCD (D1)
SO (D3)
2.2
2.7
3.5","EC (D1)
SCD(D2)
2.9
2.7","SO(D1)
PDOO(D2)
2.7
2.6","PDOO(D1)
SO (D2)
2.6
3.3"
"17:30-18:30","ED
0.1","ED
0.1","EC
0.1","PDOO
0.1","SO
0.1"
"18:30-19:30","ED
0.1","SCD
0.1","EC
0.1","PDOO
0.1","SO
0.1"
"19:30-20:30","","SCD
0.1","","",""
"20:30-21:30","","","","",""
