"2º D Grado en Ingeniería Informática
2º cuatrimestre","","","","",""
"","Lunes","Martes","Miércoles","Jueves","Viernes"
"8:30-9:30","","","","",""
"9:30-10:30","","","","",""
"10:30-11:30","","","","",""
"11:30-12:30","","","","",""
"12:30-13:30","","","","",""
"13:30-14:30","","","","",""
"","","","","",""
"15:30-16:30","AC
0.1","ALG
0.1","IA
0.1","ALG
0.1","FIS
0.1"
"16:30-17:30","FBD
0.1","AC
0.1","IA
0.1","ALG
0.1","FIS
0.1"
"17:30-18:30","ALG (D1)
AC (D2)
2.6
2.8","AC (D1)
FIS (D2)
2.3
2.6","FIS (D1)
ALG (D2)
2.7
2.6","IA (D1)
FBD (D2)
2.7
2.6","FBD (D1)
IA(D2)
2.6
2.7"
"18:30-19:30","FBD (D1)
AC (D2)
2.6
2.8","AC (D1)
FIS (D2)
2.3
2.6","FIS (D1)
FBD (D2)
2.7
2.6","IA (D1)
FBD (D2)
2.7
2.6","FBD (D1)
IA(D2)
2.6
2.7"
"19:30-20:30","","","","",""
"20:30-21:30","","","","",""
