"3ºA Grado en Ingeniería Informática
1er. cuatrimestre","","","","",""
"","Lunes","Martes","Miércoles","Jueves","Viernes"
"8:30-9:30","","","","",""
"9:30-10:30","","","","",""
"10:30-11:30","","","","",""
"11:30-12:30","","","","",""
"12:30-13:30","","","","",""
"13:30-14:30","","","","",""
"","","","","",""
"15:30-16:30","IG
0.4","FR
0.4","DDSI(A2)
3.3","ISE
0.4","MC
0.4"
"16:30-17:30","IG
0.4","FR
0.4","DDSI
0.4","ISE
0.4","MC
0.4"
"17:30-18:30","MC(A1)
ISE(A2)
IG (A3)
3.2
2.4
3.3","DDSI (A1)
MC(A2)
ISE(A3)
3.5
3.2
2.4","FR(A1)
IG(A2)
MC(A3)
3.7
3.5
3.2","DDSI(A3)
FR(A2)
IG(A1)
3.3
3.7
3.5","ISE(A1)
DDSI(A2)
FR(A3)
2.4
3.3
3.7"
"18:30-19:30","MC(A1)
ISE(A2)
IG (A3)
3.2
2.4
3.3","DDSI (A1)
MC(A2)
ISE(A3)
3.5
3.2
2.4","FR(A1)
IG(A2)
MC(A3)
3.7
3.5
3.2","DDSI(A3)
FR(A2)
IG(A1)
3.3
3.7
3.5","ISE(A1)
DDSI(A2)
FR(A3)
2.4
3.3
3.7"
"19:30-20:30","","","DDSI(A1)
2.2","DDSI(A3)
3.3",""
"20:30-21:30","","","","",""
