"3ºB Grado en Ingeniería Informática
1er. cuatrimestre","","","","",""
"","Lunes","Martes","Miércoles","Jueves","Viernes"
"8:30-9:30","","","","",""
"9:30-10:30","","","","",""
"10:30-11:30","","","","",""
"11:30-12:30","","","","",""
"12:30-13:30","","","","",""
"13:30-14:30","","","","",""
"","","","","",""
"15:30-16:30","ISE(B1)
FR(B2)
DDSI(B3)
2.4
3.7
3.2","MC(B1)
ISE(B2)
FR(B3)
0.1
2.4
3.7","IG(B3)
MC(B2)
FR(B1)
2.4
0.1
3.7","DDSI(B1)
IG(B2), IG(B4)
MC(B3)
2.4
3.5, 3.3
0.1","ISE(B3)
DDSI(B2)
IG(B1)
2.4
3.2
2.7"
"16:30-17:30","ISE(B1)
FR(B2)
DDSI(B3)
2.4
3.7
3.2","MC(B1)
ISE(B2)
FR(B3)
0.1
2.4
3.7","IG(B3)
MC(B2)
FR(B1)
2.4
0.1
3.7","DDSI(B1)
IG(B2), IG(B4)
MC(B3)
2.4
3.5, 3.3
0.1","ISE(B3)
DDSI(B2)
IG(B1)
2.4
3.2
2.7"
"17:30-18:30","MC
0.4","IG
0.4","DDSI
0.4","FR
0.4","ISE
0.4"
"18:30-19:30","MC
0.4","IG
0.4","DDSI(B2)
DDSI(B3)
DDSI(B1)
3.3
2.8
2.4","FR
0.4","ISE
0.4"
"19:30-20:30","","","","",""
"20:30-21:30","","","","",""
