"3ºC Grado en Ingeniería Informática
1er. cuatrimestre","","","","",""
"","Lunes","Martes","Miércoles","Jueves","Viernes"
"8:30-9:30","","","","",""
"9:30-10:30","","","","",""
"10:30-11:30","","","","",""
"11:30-12:30","","","","",""
"12:30-13:30","","","","",""
"13:30-14:30","","","","",""
"","","","","",""
"15:30-16:30","DDSI(C1)
ISE(C2)
3.5
2.3","MC(C1)
DDSI(C2)
2.6
3.3","DDSI(C2)
3.9","FR(C1)
IG(C2)
ISE(C3)
3.7
2.3
3.1","ISE(C1)
FR(C2)
IG(C3)
2.3
3.7
3.8"
"16:30-17:30","DDSI(C1)
ISE(C2)
3.5
2.3","MC(C1)
DDSI(C2)
2.6
3.3","DDSI
1.2","FR(C1)
IG(C2)
ISE(C3)
3.7
2.3
3.1","ISE(C1)
FR(C2)
IG(C3)
2.3
3.7
3.8"
"17:30-18:30","FR
1.2","ISE
1.2","IG(C1)
MC(C2)
2.7
2.2","MC
1.2","IG
1.2"
"18:30-19:30","FR
1.2","ISE
1.2","IG(C1)
MC(C2)
2.7
2.2","MC
1.2","IG
1.2"
"19:30-20:30","","DDSI(C1)
3.5","","",""
"20:30-21:30","","","","",""
