"3º Grado en Ingeniería Informática (Ingeniería de computadores)
2º cuatrimestre","","","","",""
"","Lunes","Martes","Miércoles","Jueves","Viernes"
"8:30-9:30","","","","",""
"9:30-10:30","","","","",""
"10:30-11:30","","","","",""
"11:30-12:30","","","","",""
"12:30-13:30","","","","",""
"13:30-14:30","","","","",""
"","","","","",""
"15:30-16:30","SMP
3.1","DHD
2,2","DSE
3.9","AS
2.9","ACAP
2.3"
"16:30-17:30","SMP
3.1","DHD
2,2","DSE
3.9","AS
2.9","ACAP
2.3"
"17:30-18:30","SMP
1.1/3.1","DHD
1.1/2.2","DSE
1.1","AS
1.1/2.9","ACAP
1.1"
"18:30-19:30","SMP
1.1/3.1","DHD
1.1/2.2","DSE
1.1","AS
1.1/2.9","ACAP
1.1"
"19:30-20:30","","","","",""
"20:30-21:30","","","","",""
