"3º Grado enIngeniería Informática (Ingeniería del Software)
2º cuatrimestre","","","","",""
"","Lunes","Martes","Miércoles","Jueves","Viernes"
"8:30-9:30","","","","",""
"9:30-10:30","","","","",""
"10:30-11:30","","","","",""
"11:30-12:30","","","","",""
"12:30-13:30","","","","",""
"13:30-14:30","","","","",""
"","","","","",""
"15:30-16:30","DS2
DIU3
SIBW1
3.3
3.2
2.3","SG3
SIBW2
DIU1
3.2
2.7
3.3","DS1
DSD3
SG2
3.2
2.3
2.1","DSD1
SIBW3
DIU2
2.4
2.3
3.2","SG1
DS3
DSD2
3.2
3.3
3.5"
"16:30-17:30","DS2
DIU3
SIBW1
3.3
3.2
2.3","SG3
SIBW2
DIU1
3.2
2.7
3.3","DS1
DSD3
SG2
3.2
2.3
2.1","DSD1
SIBW3
DIU2
2.4
2.3
3.2","SG1
DS3
DSD2
3.2
3.3
3.5"
"17:30-18:30","DSD
0.4","DIU
0.4","SG
0.4","SIBW
0.4","DS
0.4"
"18:30-19:30","DSD
0.4","DIU
0.4","SG
0.4","SIBW
0.4","DS
0.4"
"19:30-20:30","","","","",""
"20:30-21:30","","","","",""
