"3º Grado en Ingeniería Informática (Computación y Sistemas Ingeligentes)
2º cuatrimestre","","","","",""
"","Lunes","Martes","Miércoles","Jueves","Viernes"
"8:30-9:30","","","","",""
"9:30-10:30","","","","",""
"10:30-11:30","","","","",""
"11:30-12:30","","","","",""
"12:30-13:30","","","","",""
"13:30-14:30","","","","",""
"","","","","",""
"15:30-16:30","TSI
0.4","MCA
0.4","MH
0.4","IC
0.4","AA
0.4"
"16:30-17:30","TSI
0.4","MCA
0.4","MH
0.4","IC
0.4","AA
0.4"
"17:30-18:30","MCA1
TSI3
AA2
3.2
2.7
3.3","MCA2
IC3
MH1
3.2
3.9
3.3","MH2
MCA3
AA1
3.2
3.6
3.3","IC1
MH3
TSI2
3.2
2.8
3.3","TSI1
AA3
IC2
3.3
3,5
3.2"
"18:30-19:30","MCA1
TSI3
AA2
3.2
2.7
3.3","MCA2
IC3
MH1
3.2
3.9
3.3","MH2
MCA3
AA1
3.2
3.6
3.3","IC1
MH3
TSI2
3.2
2.8
3.3","TSI1
AA3
IC2
3.3
3,5
3.2"
"19:30-20:30","","","","",""
"20:30-21:30","","","","",""
