"3º Grado en Ingeniería Informática (Sistemas de Información)
2º cuatrimestre","","","","",""
"","Lunes","Martes","Miércoles","Jueves","Viernes"
"8:30-9:30","","","","",""
"9:30-10:30","","","","",""
"10:30-11:30","","","","",""
"11:30-12:30","","","","",""
"12:30-13:30","","","","",""
"13:30-14:30","","","","",""
"","","","","",""
"15:30-16:30","ISI1
SIE2
2.2
2.4","ABD2
PW1
3.7
2.4","ISI2
SMD1
3.3
3.5","ABD
1.3","PW2
SIE1
2.4
3.9"
"16:30-17:30","ISI1
SIE2
2.2
2.4","ABD2
PW1
3.7
2.4","ISI2
SMD1
3.3
3.5","ABD
1.3","PW2
SIE1
2.4
3.9"
"17:30-18:30","PW
1.3","SIE
1.3","ISI
1.3","SMD2
ABD1
2.2
3.1","PW
1.3"
"18:30-19:30","SMD
1.3","ISI
1.3","SMD
1.3","SMD2
ABD1
2.2
3.1","SIE
1.3"
"19:30-20:30","","","","",""
"20:30-21:30","","","","",""
