"1º B Grado en Ingeniería Informática
1er. cuatrimestre","","","","",""
"","Lunes","Martes","Miércoles","Jueves","Viernes"
"8:30-9:30","","","","",""
"9:30-10:30","ALEM
0.3","CA
0.3","FP
0.3","CA
0.3","FFT
0.3"
"10:30-11:30","ALEM
0.3","CA
0.3","FP
0.3","ALEM
0.3","FFT
0.3"
"11:30-12:30","FP (B1)
FS (B2)
FFT (B3)
2.8
2.1
3.6","FS
0.3","FS (B1)
FP (B2)
ALEM(B3)
2.1
3.1
3.3","FFT (B1)
ALEM(B2)
FP (B3)
3.6
2.2
3.1","ALEM(B1)
FFT (B2)
FS (B3)
2.3
3.6
2.1"
"12:30-13:30","FP (B1)
FS (B2)
FFT (B3)
2.8
2.1
3.6","FS
0.3","FS (B1)
FP (B2)
CA (B3)
2.1
3.1
3.3","FFT (B1)
CA(B2)
FP (B3)
3.6
2.2
3.1","CA(B1)
FFT (B2)
FS (B3)
2.3
3.6
2.1"
"13:30-14:30","","","","",""
"","","","","",""
"15:30-16:30","","","","",""
"16:30-17:30","","","","",""
"17:30-18:30","","","","",""
"18:30-19:30","","","","",""
"19:30-20:30","","","","",""
"20:30-21:30","","","","",""
