"4º Grado en Ingeniería Informática (Ingeniería del Software)
1er cuatrimestre","","","","",""
"","Lunes","Martes","Miércoles","Jueves","Viernes"
"8:30-9:30","","LP
3.2","","PGV
3.2",""
"9:30-10:30","DGP
1.2","LP
3.2","DGP2
DBA1
3.3
2.9","PGV
3.2","DBA
1.2"
"10:30-11:30","DGP
1.2","SSO
1.2","DGP2
DBA1
3.3
2.9","LP
1.2","DBA
1.2"
"11:30-12:30","MDA1
DBA2
2.6
3.8","SSO
1.2","MDA
1.2","LP
1.2","DGP1
MDA2
2.9
2.6"
"12:30-13:30","MDA1
DBA2
2.6
3.8","PGV
1.2","MDA
1.2","SSO
2.3","DGP1
MDA2
2.9
2.6"
"13:30-14:30","","PGV
1.2","","SSO
2.3",""
"","","","","",""
"15:30-16:30","","","","",""
"16:30-17:30","","","","",""
"17:30-18:30","","","","",""
"18:30-19:30","","","","",""
"19:30-20:30","","","","",""
"20:30-21:30","","","","",""
