"4º Grado en Ingeniería Informática (Ingeniería del Software)
2º cuatrimestre","","","","",""
"","Lunes","Martes","Miércoles","Jueves","Viernes"
"8:30-9:30","","AO
2.3","","NTP
1.2",""
"9:30-10:30","PPR
2.3","AO
2.3","NTP
2.4","NTP
1.2","EISI
1.1"
"10:30-11:30","PPR
2.3","PPR
1,2","NTP
2.4","CEGE
1.1","EISI
1.1"
"11:30-12:30","AO
1.2","PPR
1,2","DI
1.1","CEGE
1.1","EISI
2.2"
"12:30-13:30","AO
1.2","CEGE
1.1","DI
1.1","DI
1.1","EISI
2.2"
"13:30-14:30","","CEGE
1.1","","DI
1.1",""
"","","","","",""
"15:30-16:30","","","","",""
"16:30-17:30","","","","",""
"17:30-18:30","","","","",""
"18:30-19:30","","","","",""
"19:30-20:30","","","","",""
"20:30-21:30","","","","",""
