"4º Grado en Ingeniría Informática (Computación y Sistemas Inteligentes)
1er cuatrimestre","","","","",""
"","Lunes","Martes","Miércoles","Jueves","Viernes"
"8:30-9:30","","PTC
1.3","","SS
3.5",""
"9:30-10:30","VC
1.3","PTC
1.3","NPI
1.3","SS
3.5","PL
1.3"
"10:30-11:30","VC
1.3","TIC
2.6","NPI
1.3","PTC
2.7","PL
1.3"
"11:30-12:30","NPI1
PL2
3.3
2.7","TIC
2.6","PL1
VC2
2.7
3.2","PTC
2.7","VC1
NPI2
3.2
3.3"
"12:30-13:30","NPI1
PL2
3.3
2.7","SS
1.3","PL1
VC2
2.7
3.2","TIC
1.3","VC1
NPI2
3.2
3.3"
"13:30-14:30","","SS
1.3","","TIC
1.3",""
"","","","","",""
"15:30-16:30","","","","",""
"16:30-17:30","","","","",""
"17:30-18:30","","","","",""
"18:30-19:30","","","","",""
"19:30-20:30","","","","",""
"20:30-21:30","","","","",""
