"4º Grado en Ingeniría Informática (Computación y Sistemas Inteligentes)
2º cuatrimestre","","","","",""
"","Lunes","Martes","Miércoles","Jueves","Viernes"
"8:30-9:30","","PLD
2.2","","RI
1.3",""
"9:30-10:30","PLD
1.3","PLD
2.2","RI
3.11/2.3","RI
1.3","EISI
1.1"
"10:30-11:30","PLD
1.3","CRIP
1,3","RI
3.11/2.3","CEGE
1.1","EISI
1.1"
"11:30-12:30","CRIP
3.5","CRIP
1,3","DI
1.1","CEGE
1.1","EISI
2.2"
"12:30-13:30","CRIP
3.5","CEGE
1.1","DI
1.1","DI
1.1","EISI
2.2"
"13:30-14:30","","CEGE
1.1","","DI
1.1",""
"","","","","",""
"15:30-16:30","","","","",""
"16:30-17:30","","","","",""
"17:30-18:30","","","","",""
"18:30-19:30","","","","",""
"19:30-20:30","","","","",""
"20:30-21:30","","","","",""
