"4º Grado en Ingeniería Informática (Tecnologías de la Información)
1er cuatrimestre","","","","",""
"","Lunes","Martes","Miércoles","Jueves","Viernes"
"8:30-9:30","","","","",""
"9:30-10:30","DAI1
SPSI2
3.4
2.3","CRIM
1.5","SPSI1
DAI3
IV2
2.6
2.4
3.3","TID
1.5","IV1
DAI2
3.3
3.7"
"10:30-11:30","DAI1
SPSI2
3.4
2.3","CRIM
1.5","SPSI1
DAI3
IV2
2.6
2.4
3.3","TID
1.5","IV1
DAI2
3.3
3.7"
"11:30-12:30","IV
1.5","CRIM
2.4","DAI
1.5","TID
3.3","SPSI
1.5"
"12:30-13:30","IV
1.5","CRIM
2.4","DAI
1.5","TID
3.3","SPSI
1.5"
"13:30-14:30","","","","",""
"","","","","",""
"15:30-16:30","","","","",""
"16:30-17:30","","","","",""
"17:30-18:30","","","","",""
"18:30-19:30","","","","",""
"19:30-20:30","","","","",""
"20:30-21:30","","","","",""
