"4º Grado en Ingeniería Informática (Tecnologías de la Información)
2º cuatrimestre","","","","",""
"","Lunes","Martes","Miércoles","Jueves","Viernes"
"8:30-9:30","","PDM
2.4","","RMS
3.4",""
"9:30-10:30","PDS
1.3","PDM
2.4","RMS
1.3","RMS
3.4","EISI
1.1"
"10:30-11:30","PDS
1.3","PDM
2.3","RMS
1.3","CEGE
1.1","EISI
1.1"
"11:30-12:30","PDS
2.3","PDM
2.3","DI
1.1","CEGE
1.1","EISI
2.2"
"12:30-13:30","PDS
2.3","CEGE
1.1","DI
1.1","DI
1.1","EISI
2.2"
"13:30-14:30","","CEGE
1.1","","DI
1.1",""
"","","","","",""
"15:30-16:30","","","","",""
"16:30-17:30","","","","",""
"17:30-18:30","","","","",""
"18:30-19:30","","","","",""
"19:30-20:30","","","","",""
"20:30-21:30","","","","",""
