"1º C Grado en Ingeniería Informática
1er. cuatrimestre","","","","",""
"","Lunes","Martes","Miércoles","Jueves","Viernes"
"8:30-9:30","","","","",""
"9:30-10:30","CA
0.4","ALEM
0.4","FFT (C1)
FS (C2)
3.6
2.1","FS
0.4","FP (C1)
CA(C2)
3.5
2.2"
"10:30-11:30","CA
0.4","FP
0.4","FFT (C1)
FS (C2)
3.6
2.1","FS
0.4","FP (C1)
ALEM(C2)
3.5
2.2"
"11:30-12:30","CA (C1)
FP (C2)
3.2
3.9","FS (C1)
FFT (C2)
CA(C3)
2.1
3.6
3.1","ALEM
0.4","FFT
0.4","FP
0.4"
"12:30-13:30","ALEM(C1)
FP (C2)
3.2
3.9","FS (C1)
FFT (C2)
2.1
3.6","FFT
0.4","ALEM
0.4","CA
0.4"
"13:30-14:30","","","","",""
"","","","","",""
"15:30-16:30","","","","",""
"16:30-17:30","","","","",""
"17:30-18:30","","","","",""
"18:30-19:30","","","","",""
"19:30-20:30","","","","",""
"20:30-21:30","","","","",""
