"1º C Grado en Ingeniería Informática
2º cuatrimestre","","","","",""
"","Lunes","Martes","Miércoles","Jueves","Viernes"
"8:30-9:30","","","","",""
"9:30-10:30","MP(C1)
ES(C2)
3.1
2.1","ES
0.4","LMD(C1)
TOC(C2)
2.1
3.8","TOC(C1)
MP(C2)
3.8
3.1","TOC
0.4"
"10:30-11:30","MP(C1)
LMD(C2)
3.1
2.1","ES
0,4","ES(C1)
TOC(C2)
2.1
3.8","TOC(C1)
MP(C2)
3.8
3.1","TOC
0.4"
"11:30-12:30","LMD
0.4","IES
0,4","IES
0.4","LMD
0.4","MP
0.4"
"12:30-13:30","ES
0.4","IES
0.4","IES
0.4","MP
0.4","LMD
0.4"
"13:30-14:30","","","","",""
"","","","","",""
"15:30-16:30","","","","",""
"16:30-17:30","","","","",""
"17:30-18:30","","","","",""
"18:30-19:30","","","","",""
"19:30-20:30","","","","",""
"20:30-21:30","","","","",""
