"1º E Grado en Ingeniería Informática
1er. cuatrimestre","","","","",""
"","Lunes","Martes","Miércoles","Jueves","Viernes"
"8:30-9:30","","","","",""
"9:30-10:30","","","","",""
"10:30-11:30","","","","",""
"11:30-12:30","","","","",""
"12:30-13:30","","","","",""
"13:30-14:30","","","","",""
"","","","","",""
"15:30-16:30","FFT
0.3","CA
0.3","CA
0.3","FS
0.3","FP
0.3"
"16:30-17:30","FFT
0.3","CA
0.3","ALEM
0.3","FS
0.3","FP
0.3"
"17:30-18:30","FP (E1)
FS (E2)
ALEM(E3)
3.5
2.1
2.7","ALEM
0.3","FS(E1)
FP(E2)
FFT (E3)
2.1
3.1
3.6","CA(E1)
FFT (E2)
FS (E3)
2.7
3.6
2.1","FFT (E1)
ALEM(E2)
FP(E3)
3.6
2.7
3.1"
"18:30-19:30","FP (E1)
FS (E2)
CA(E3)
3.5
2.1
3.9","ALEM
0.3","FS(E1)
FP(E2)
FFT (E3)
2.1
3.1
3.6","ALEM(E1)
FFT (E2)
FS (E3)
2.7
3.6
2.1","FFT (E1)
CA(E2)
FP(E3)
3.6
2.7
3.1"
"19:30-20:30","","","","",""
"20:30-21:30","","","","",""
