"1º E Grado en Ingeniería Informática
2º cuatrimestre","","","","",""
"","Lunes","Martes","Miércoles","Jueves","Viernes"
"8:30-9:30","","","","",""
"9:30-10:30","","","","",""
"10:30-11:30","","","","",""
"11:30-12:30","","","","",""
"12:30-13:30","","","","",""
"13:30-14:30","","","","",""
"","","","","",""
"15:30-16:30","LMD(E1)
MP(E2)
TOC(E3)
2.1
3.5
3.8","ES
0.3","TOC
0.3","MP(E1)
TOC(E2)
ES (E3)
3.1
3.8
2.1","TOC(E1)
LMD(E2)
MP(E3)
3.8
2.1
3.1"
"16:30-17:30","ES(E1)
MP(E2)
TOC(E3)
2.1
3.5
3.8","ES
0.3","TOC
0.3","MP(E1)
TOC(E2)
LMD (E3)
3.1
3.8
2.1","TOC(E1)
ES(E2)
MP(E3)
3.8
2.1
3.1"
"17:30-18:30","ES
0.3","LMD
0.3","LMD
0.3","IES
0.3","IES
0.3"
"18:30-19:30","LMD
0.3","MP
0.3","MP
0.3","IES
0.3","IES
0.3"
"19:30-20:30","","","","",""
"20:30-21:30","","","","",""
