"1º F Grado en Ingeniería Informática
1er. cuatrimestre","","","","",""
"","Lunes","Martes","Miércoles","Jueves","Viernes"
"8:30-9:30","","","","",""
"9:30-10:30","","","","",""
"10:30-11:30","","","","",""
"11:30-12:30","","","","",""
"12:30-13:30","","","","",""
"13:30-14:30","","","","",""
"","","","","",""
"15:30-16:30","","","","",""
"16:30-17:30","","","","",""
"17:30-18:30","","","","",""
"18:30-19:30","","","","",""
"19:30-20:30","ALEM
0.2","ALEM (F1)
FFT(F2)
2.3
3.6","FFT
0.2","ALEM
0.2","FFT(F1)
ALEM(F2)
3.6
2.1"
"20:30-21:30","","FFT(F2)
3.6","FFT
0.2","ALEM
0.2","FFT(F1)
3.6"
