"2º B Grado en Ingeniería Informática
2º cuatrimestre","","","","",""
"","Lunes","Martes","Miércoles","Jueves","Viernes"
"8:30-9:30","","","","",""
"9:30-10:30","AC
0.1","FBD
0.1","IA
0.1","ALG
0.1","FIS
0.1"
"10:30-11:30","ALG
0.1","AC
0,1","IA
0.1","ALG
0.1","FIS
0.1"
"11:30-12:30","IA (B1)
ALG (B2)
AC (B3)
2.7
2.6
3.7","ALG (B3)
FBD (B1)
FIS (B2)
2.6
3.7
2.7","AC (B2)
FIS (B3)
FBD (B1)
3.7
2.7
2.6","AC (B1)
IA (B2)
FBD (B3)
3.7
2.7
2.6","FBD (B2)
FIS (B1)
IA (B3)
2.6
3.7
2.7"
"12:30-13:30","IA (B1)
FBD (B2)
AC (B3)
2.7
2.6
3.7","FBD (B3)
ALG (B1)
FIS (B2)
2.6
3.7
2.7","AC (B2)
FIS (B3)
FBD (B1)
3.7
2.7
2.6","AC (B1)
IA (B2)
FBD (B3)
3.7
2.7
2.6","FBD (B2)
FIS (B1)
IA (B3)
2.6
3.7
2.7"
"13:30-14:30","","","","",""
"","","","","",""
"15:30-16:30","","","","",""
"16:30-17:30","","","","",""
"17:30-18:30","","","","",""
"18:30-19:30","","","","",""
"19:30-20:30","","","","",""
"20:30-21:30","","","","",""
